उनीहरु,them
गति,course
माथी,On
सकदिन,cannot
सोध्दै,asked
सानो,small
न,ne
पर्याप्त,enough
आई यन्त्र,il
आवश्यकता,want
किनारा,side
नारी,woman
तैपनि,however
घर,home
ल्याएर,brought
कस्को,whose
न त,nor
पादरी,father
म,me
पूरै,quite
शब्द,words
दिनु,given
सम्म,till
ठाहेन,pos
लिनु,taken
प्रयोग गर्नु,use
हात,hands
गर्नुहुन्छ,does
को,OF
सम्म,until
समाप्ति,end
पहकियो,turned
केहि मात्रामा,rather
मेरो,My
तिमी,thou
सबभन्दा रामो,best
पी,p
किनकि,since
महसुस,felt
शब्द,word
मालिक,Lord
प्रयोगो,used
डन्डी,dans
हलुका,light
ओह,Oh
अर्को,next
थाले,began
थोरै,less
उपहार,present
ठूलो,large
पानी,water
गुफा,den
भित्र,within
ढोका,door
गरिब,poor
सन्देहरहित,certain
काम हुन्छ काम,works
टांग,pas
अर्को पठाइएको,sent
प्राय,often
टी,tt
उभिए,stood
बल,power
अहिले,Now
कोठा,room
आधा,half
सार्वजनिक,public
आफैले,themselves
बिहान,morning
महाशय,Sir
म,myself
राख्न,keep
पैसा,money
आमा,mother
उनको,her
b,b
नजीक,une
बाट भएर,By
तिम्रो,thy
सय,hundred
एट्स,ets
जो,je
प्रकार,kind
मगाउनु,order
युद्घ,war
चाहनु हुन्छ,means
आकृति,form
खन्याउनु,pour
कसरी,How
गोलो,round
पाउनु,received
स्वर,voice
विश्वास गर्नु,believe
Y,y
सेतो,white
अभाव महसुस,Miss
जो सुकै,anything
निकट,near
अरु,others
यसरी,thus
पारित गर्नुभयो,passed
विषयमा कुरा,matter
म,I'm
कुवा,Well
वर्ष,year
पढनु,read
इमान्दार,TRUE
सबै,All
तिमीहरु,you
अंक,point
आफूलाई छेहा,herself
को,Of
मित्र,friend
अवस्था,state
व्यक्ति,person
श्रीमती,wife
अघि नै,already
एक,One
माथी,above
उच्च,high
भेट,met
भन्दैन,says
सगैं,together
किन,why
सायद,perhaps
मृत्यु,death
प्रिय,dear
वास्तवमा,fact
अल्पतम,least
मुद्दा,case
सून्नु,hear
सित,With
ज्ञसरहेको,known
अंग्रेजी,English
चार,four
आशा,hope
औचित,au
साथ,along
छोड,leave
निश्चित,sure
बच्चाहरु,children
को समयमा,during
खोल्नु,open
हुन्छ,Yes
नंया,New
अनेक,several
राजा,King
सांच्ची नै,indeed
अत,therefore
संख्या,number
खुट्टा,feet
इच्छा,wish
गयो,gone
केटी,girl
राख्नु,lay
या त,either
पयो,held
यदि,whether
अक्षर,letter
वमयत गएका थिए,ce
सहायता,help
सितैमा,free
जर्नेल,general
vू,vous
सेकन्ड,second
मात्र,alone
फर्किनु,return
महिला,women
प्रकृति,nature
समय,times
भूमि,land
भयो,became
हुनु,become
हजार,thousand
जीउ,body
रगढग,air
तिम्रो तँलाई,thee
नाम बोलाउनु,call
शनि,sat
कुरा गर्नु,speak
संयुक्त,United
आफैले नै,itself
राज्यहरु,States
किन,why
घण्टा,hour
यूहन्ना,John
कारण,reason
अगाडि हेर,forth
अनुभव गर्नु,feel
खोजी गर्नु,looking
निम्नलिखित,following
विश्राम,rest
नामी,terms
व्यापार,business
इलेक्ट्रोनिक,electronic
को पछि,behind
चाल्नु,making
म,I'll
रुनु,cried
जवाफ दिनुभयो,answered
जोडेर,plus
साच्चिकै,really
साथीहरू,friends
तिर,towards
शिशु,child
हराएको,lost
मानव,human
जवाफ दिइयो,replied
होनिरहेको,kept
आउँदै,coming
पाच,five
राजा,king
पछि,After
असमान,different
ध्यान,care
आगो,fire
छोटो,short
ढंग,manner
अर्थ,mean
शहर,city
पक्र्नु,fell
सामर्थ,able
आवश्यकता,need
यिनीहरु,These
फ्रेन्च,French
प्रश्न,question
परिवार,family
केटा,boy
उदेश्य,cause
उनको,Her
गर्नु,Do
देख्नु,seems
बलियो,strong
अघि,par
दश,ten
हे,O
इ। ्गल्याण्ड,England
सम्भव,possible
मरेको,dead
फर्कियियो,returned
ल्याउनु,bring
जग,sur
स्थापना,Foundation
बाच्नु,live
चारैतिर,around
सन्देह,doubt
देखि,From
कठोर,hard
पी,p
आत्मा,soul
सोध्नु,ask
किसिम प्रकार,sort
जरिमाना,fine
समात्नु,hold
महिला,lady
अध्यारो,black
सुन्दर,beautiful
भाव,sense
घनिष्ट,close
अधीन गर्नु,subject
घुमाउने काम,turn
शहर,town
पछ्याई,followed
कानुन,law
साँझ,evening
सत्यता,truth
सला,sa
भूमि,ground
बुभ्क्नु,understand
देखाउनु,show
लुइ,lui
लिखित,written
एन,n
साधारण,common
देख्नु,See
Est,est
गर्नु पर्छ,ought
डर,fear
अध्यारो,dark
टोली,party
होइन,Not
तयार,ready
बल,force
लैजानु,carried
सक्दिन,can't
चाडैं,early
अधिकारी सबै,said
कुरा गर्नु,talk
खाता,account
उत्तर दिनु,answer
छडाली,ja
तिरिएको,paid
वारपार,across
हात हतियार,arms
आवश्यक,necessary
रुख,si
कहिलेकाही,sometimes
यंहा,Here
पृथ्वी,earth
मनोभाव,spirit
उखान,saying
दास,das
विचार,idea
जस्तै ईपुस्तर,eBook
पात्र,character
पुगेको छु,reached
कोलो,copyright
समून्द्र,sea
अनि साह्रै सकिदैदै गर्नु,appeared
माल बोक्ने गाडी,van
दृष्टि,sight
सुद,interest
6,six
तारुवा,St
जर्नेल,General
भोन,von
किताव,book
देखिनु,seem
लिनु,taking
तिमीहरू,ye
टिम्दै,continued
अभिमाना,avec
भने,spoke
अनौठो,strange
कापी,copy
बूढो हनु,age
भेट्नु,meet
अति चाँडै,longer
कथा,story
हिउं,sn
गहन,deep
प्राय,nearly
तार,line
अरु,further
अनुभव,feeling
पूट्टा,Footnote
पछि,later
अकस्मात्,suddenly
महाशय,sir
थप भए,added
संग सिच,sich
दाजु,brother
कुनै पनि नाइ,neither
उभिनु,stand
म,I've
कौशल,art
वास्तविक,real
यो,it's
निकट,nicht
तिर,toward
गुलाफ,rose
विश्वास,es
देखि बाहिर,beyond
फेरि,again
कानुन,laws
सोडी,sie
माइल,miles
अध्याय,CHAPTER
सबै थोक,everything
रमणीय,pretty
काम,act
ठान्नु,suppose
आउँछ,comes
इंच,ich
बाहेक,except
तालिका,table
घण्टा,hours
नदी,river
काट्ने काम,cut
आँखा,eye
परिवर्तन,change
अनुमति दिनु,Let
भूत,past
निस्नु,nous
प्राकृतिक,natural
पाके,entered
केही,Some
केहि पनि होइन,none
प्रसन्न,happy
यो,It's
आई यन्त्र,Il
स्थिति,position
फ्रान्स,France
अन्य,else
महिला,Lady
स्पष्ट,clear
अबेर,late
अमेरिकन,American
थिएनt,didn't
सुत्ने ठाउ,bed
राख्नु,laid
छ,Is
रुघा,cold
खराब,bad
राम्रो अवस्थामा,sound
सम्झनु,remember
दृश्य,view
जीवन,life
लिड,led
मन्द,low
समय,time
मीट,mit
अगाडि,forward
मजा,fair
तापनि,although
बनाउँछ,makes
लक्य,purpose
ज्ञान,knowledge
माथि,living
तिर्ने काम,pay
पाउनु,receive
रगत,blood
कमेम,comme
फौज,army
छोरी,daughter
नोट,note
खोलियो,opened
दगुर्ने काम,run
डा लाई,Dr
el,el
गरिरहेको,doing
खस्नु,fall
रु,dem
असर,effect
भन्ज्याड़,pass
सूर्य,sun
सडक,road
अस्टी,ety
सहपक,avait
सासी,ses
पति,husband
खर्च,charge
लगाउनु,tried
पक्कै पनि,certainly
महत्वपुर्ण,important
साहिल्यै,Literary
मन पर्रो,wanted
अनुष्ठान,service
अगाडिको भाग,front
रातो,red
तिर,TO
सम्भवतः,probably
भविष्यमा,future
पी,pr
राखिएको,placed
विशेष गरी,especially
लक्य,quill
आकांक्षा,desire
अथवा,OR
एल एलीक,elle
पठाउनु,send
कार्यालय,office
संगै स ?क्षक,Archive
लनन,London
महासाग,greater
ला,La
टि,te
ठूलो,big
चित्राशय,letters
शान्ति,peace
कपाल,hair
सुख,pleasure
बिउँदो,lived
लगायत,including
हातले,fld
घोडा,horse
प्रसन्न,glad
रहे,remained
विचार,opinion
विविध,various
ओटो,het
यस्तो सामना भएको,hath
बांभ्कीष,bien
एउटा,An
इतिहास,history
खेल्नु,play
सम्भ्कौता,agreement
गाउनु भयो,died
ट्युठ,tout
सिडी,cd
लेखिस,wrote
जंगली,wild
एक ',an'
Itt,ist
भाखी,ran
म,I
सरकार,government
अनुदान,donations
बचाउनु,save
ल,als
लम्बाइ,length
रुख,Ah
मालिक,master
पछिल्लो,latter
अभ्कसम्म,Yet
समर्थित,persons
को,col
मुश्किलले,hardly
सुन,gold
कागत,paper
खास,particular
चिनो,mark
WHO,Who
सुचना,information
मुग्रे,cette
जन्म दिनु,bear
यसरी,Thus
साथी,fellow
गिर्जाघर,church
ध्यान,attention
यो अनुसार अनुसार,according
हावा,wind
प्रति,per
ebopss,eBooks
दल,company
बाटो,walked
नेता,chief
बल,strength
सबै,all
भद्रपुरुष,gentleman
मेरो,mine
पेरिस,Paris
वस्तु,object
हामीलाई,us
यदि होइन भने,unless
र्कतब्य,duty
केहि भगवान,drew
अविवाहित,single
दूरी,distance
किताकस,books
व्यापार गर्नु,deal
वीजन,mais
भेट,visit
मान्छे,man
खुट्टा,foot
सुन्दरता,beauty
शुरु,beginning
भारी,heavy
सूत्र,ein
उभिनु,standing
थाहा छ निधन,knows
सोचौ,thinking
मनवालाइ,loved
बोकेर लैजानु,carry
तत्काल,immediately
कप्तान,Captain
सम्म,unto
b,e
प्रयास गर्नु,try
डडी,De
धनी,rich
सरल,plain
गुलियो,sweet
मदिरी,Madame
लैजान,Le
देख्दै,seeing
मिनेट,minutes
पछ्याउन,follow
चिन्ता,trouble
तपाई आफै,yourself
लेख्नु,write
मौका,chance
सम्भ्क,regard
खारी,filled
अनु,S
रुखदन,trees
को,ou
गर्क्षौ,won't
उपस्थिति,presence
सफा,merely
टुफ,auf
तिमीहरु,YOU
गुप्त,secret
हाम्रो,Our
पहिलेको,former
केवल,mere
देखिनु,appear
प्रहार,struck
सिकेका,learned
बाहु,arm
दिनुहुन्छ,giving
भयो,happened
मानिस,man's
प्रभाव,influence
देख्नु,SEE
सट्टा,instead
स्थिति,condition
बीस,twenty
काम,work
भ्कयाल,window
जियो जइज,George
कहा,Where
डराएको,afraid
तल,below
गलत,wrong
महिना,months
समय,day
मौन,silence
सक्छ,May
भत्केको,broken
बप्तिस्मा,raised
तिमी,u
को बाहिर,outside
प्राणी हुनु,getting
समात्नु,caught
बेला,While
सरल,simple
ओसिलो,lips
अकं,figure
पहिले,ago
पुग्नु,reach
सजिलै,easily
गुप्त,noble
जे सुकै होस्,whatever
छुित गुट,dit
विचारहरु,thoughts
ओन,een
पुरानो,ancient
नीलो,blue
अंगहरु,parts
छोडेर,leaving
सहमत हुनु,agree
साधारणतया,generally
तिमीहरुको,Your
देखा पर्नुभयो,showed
र,AND
सजिलो,easy
पानीजहाज,ship
भिडन्त,action
बसाइ,stay
टोप,hat
सार्नु,moved
सम्पति,property
लायक,fit
दुश्मन,enemy
राज्यहरु,states
बाटो,way
बढ्यो,grew
पछि,afterwards
स्वाभाविक गण,born
ठाने दल,places
योर्कको योर्क,York
असम्भव,impossible
अवस्था,State
मूल्य,worth
http,http
आइपुगे,arrived
विशेष समय,occasion
रहनु,remain
कृपया,please
हरियो,green
विवाहित,married
त्यो,that
तेस्रो,third
मुख,mouth
निदाउनु,sleep
रजोधर्म,period
ताजा,fresh
निष्ठा,faith
प्रणाली,system
रचना,writing
त्यहां,there
केटाहरू,boys
घोडा,horses
सम्पूर्णता,entirely
बाहिर,out
मुस्कान,smile
कागजात,blockquote
जान्छ,goes
सधैंको,usual
चार्ल्स,Charles
कमी,covered
प्रकटन,appearance
बारी,bound
सम्मान,respect
शान्त,quiet
तुलनामा,beside
भोजन,dinner
अभिव्यक्ति,expression
रोकिदियो,stopped
विलियम,William
बिस्तारी,slowly
धेरै,considerable
राजकुमार,Prince
केही मात्रामा,somewhat
हिडाई,walk
टाढा,away
विस्मय,wonder
योजना,PROJECT
मरियम,Mary
महान,greatest
दिनु,provide
समानता,etext
जर्मन,German
पूर्ण,perfect
अदालत,court
उल्टो,exclaimed
जवानी,youth
आउनु,Come
लागत,cost
आदि,etc
अधोल,scarcely
अचानक,sudden
क्रिश्चियन,Christian
दुष्ट,evil
जोखिम,danger
मूख्य,main
युद्घ,battle
इच्छा,wished
आदेश,command
सूचना,notice
टुक्रा,piece
राजनैतिक,political
बहिनी,sister
कोशिश,trying
उचित,proper
c,c
सुरु गर्नु,started
मानिन्छ,considered
बेलायती,British
अनुमति दिनु,allowed
मा सकिपर्ने,expected
आनन्द,joy
निजी,private
चहकिलो,bright
परिणाम,result
सरकार,Government
उनीहरुको,Their
स्कूल,school
बस्नु,sit
